layer,mean_H,delta_H
0,4.439314,-4.460017
1,3.692324,-5.207007
2,3.554057,-5.345274
3,2.974438,-5.924893
4,2.381632,-6.517699
5,2.636901,-6.262430
6,2.456597,-6.442734
7,1.950147,-6.949184
8,2.788092,-6.111239
9,2.961767,-5.937564
10,2.142983,-6.756348
11,2.530935,-6.368395
12,2.245301,-6.654030
13,2.067567,-6.831763
14,1.932013,-6.967318
15,2.135496,-6.763835
